"psig","qval","med_q_val","is_sig"
0.0160321,0.482577,0.998392,FALSE
0,0.533525,0.432244,FALSE
0.420842,0.0487006,0.0533486,TRUE
1,5.86044e-15,4.23437e-12,TRUE
0.0881764,0.0704249,0.0847877,FALSE
1,2.69406e-18,1.87348e-17,TRUE
1,4.67548e-06,6.26725e-06,TRUE
0,0.95501,0.920769,FALSE
0,0.460961,0.998385,FALSE
0,0.544908,0.575613,FALSE
0.00200401,0.243309,0.310558,FALSE
0.0601202,0.597044,0.998385,FALSE
0,0.998435,0.998422,FALSE
1,3.81742e-06,5.30228e-06,TRUE
0,0.998435,0.998422,FALSE
0,0.981443,0.98333,FALSE
0,0.754345,0.751447,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.998399,FALSE
0,0.998435,0.998409,FALSE
0,0.390568,0.37144,FALSE
0,0.277906,0.340988,FALSE
1,0.00630419,0.00839038,TRUE
0,0.998435,0.998422,FALSE
1,0.00287623,0.00205108,TRUE
0,0.998435,0.998418,FALSE
0,0.997347,0.998393,FALSE
0,0.902222,0.901895,FALSE
0,0.232712,0.290972,FALSE
0,0.998435,0.998395,FALSE
0,0.998435,0.998417,FALSE
0.0981964,0.0598105,0.065264,FALSE
0,0.934373,0.94154,FALSE
0,0.782094,0.771013,FALSE
0,0.534935,0.549235,FALSE
0,0.730203,0.736433,FALSE
1,1.51237e-09,1.29543e-09,TRUE
0,0.998435,0.981964,FALSE
0,0.305331,0.849797,FALSE
0.400802,0.0634038,0.0616201,FALSE
0.00200401,0.234605,0.202642,FALSE
0.142285,0.0762306,0.111681,FALSE
0,0.529182,0.518613,FALSE
0,0.129425,0.166086,FALSE
0,0.733582,0.700256,FALSE
0,0.348055,0.327009,FALSE
0,0.593784,0.598414,FALSE
0.262525,0.998435,0.220881,FALSE
0.42485,0.0473437,0.0540464,TRUE
0,0.420861,0.402415,FALSE
0,0.822867,0.774478,FALSE
0,0.941011,0.899789,FALSE
0,0.998435,0.998404,FALSE
0,0.998435,0.998401,FALSE
1,2.01816e-08,6.33067e-08,TRUE
0.967936,0.0275323,0.0286463,TRUE
1,0.000816146,0.000718441,TRUE
0,0.458298,0.489597,FALSE
0,0.21177,0.187554,FALSE
0,0.998435,0.998398,FALSE
0.933868,0.0103923,0.0114577,TRUE
